entry,example_de,translation,cefr
der Meter,Das Zimmer ist zehn Meter lang.,meter,A1
nah,Wir wohnen in einer nahen Stadt.,near(by),A1
nahe,Der Park liegt nahe am Bahnhof.,near,
die Hilfe,Die Hilfe kam genau rechtzeitig.,help,A1
das Kapitel,Das Kapitel behandelt wichtige Themen.,chapter,B1
ausgehen,Er ging gestern Abend mit Freunden aus.,to go out,A2
die Bedeutung,Die Bedeutung dieser Entdeckung ist enorm.,meaning,B1
betrachten,Er betrachtete das Bild aufmerksam.,to look at,A2
die Chemie,Die Chemie zwischen ihnen stimmte.,chemistry,B2
die Luft,Die Luft roch frisch nach Regen.,air,B1
der Körper,Der Körper ist ein komplexes System.,body,A2
die Struktur,Die Struktur des Gebäudes ist stabil.,structure,B2
stimmen,Der Bericht stimmt vollständig.,to be correct,B1
bitten,Er bat um Geduld und Verständnis.,to request,A1
das Jahrhundert,Das Jahrhundert neigt sich dem Ende zu.,century,A2
wahrscheinlich,Der wahrscheinliche Zeitpunkt ist 9 Uhr.,likely,A2
öffentlich,Die öffentliche Meinung ist gespalten.,public,B1
euch,Ich habe euch lange nicht gesehen.,you,A1
insgesamt,Es gab insgesamt zehn Teilnehmer.,in all,B1
anfangen,Der Film fängt in zehn Minuten an.,to begin,A1
genug,Er hat mehr als genug gegessen.,enough,A2
das Deutsche,Viele Deutsche sprechen Englisch.,German,
verändern,Das Wetter hat sich verändert.,to change,A1
die Wohnung,Wir ziehen nächste Woche in die Wohnung.,apartment,A1
gelingen,Der Plan muss diesmal gelingen.,to succeed,B1
bald,Bald ist die Arbeit endlich vorbei.,soon,A1
gering,Es gab nur geringe Veränderungen.,low,B1
der Film,Der Film fesselte die Zuschauer.,film,A1
kaufen,Er kauft jeden Morgen frisches Brot.,to buy,A1
ansehen,Sie sahen sich den neuen Film an.,to look at,A2
öffnen,Er öffnete vorsichtig die Tür.,to open,A1
die Musik,Die Musik weckt alte Erinnerungen.,music,B1
schauen,Er schaute in den Spiegel und lachte.,to look,B1
das Stück,Ein Stück Kuchen liegt auf dem Teller.,piece,A2
besondere,Er hat eine besondere Art zu sprechen.,special,A1
tot,Der Baum im Garten ist leider tot.,dead,A1
der Gott,Gott sei Dank ist alles gut gegangen.,God,B1
völlig,Ich bin heute völlig erschöpft.,completely,B1
positiv,Er gab eine positive Rückmeldung.,positive,B1
das Gespräch,Das Gespräch verlief freundlich.,conversation,A1
darum,"Ich habe Hunger, darum esse ich jetzt.",around it,A1
der Kunde,Der Kunde war zufrieden mit dem Service.,customer,A1
die Menge,Die Menge an Stress steigt täglich.,quantity,A2
die Regierung,Die Regierung plant neue Maßnahmen.,rule,A1
die Antwort,Die Antwort auf die Frage war einfach.,answer,A1
annehmen,Er nahm das Geschenk freundlich an.,to accept,B1
falsch,Die Antwort war leider falsch.,false,A1
der Zusammenhang,Der historische Zusammenhang fehlt.,connection,B1
langsam,Der Verkehr in der Stadt ist langsam.,slow,A1
der Arm,Der Arm schmerzte nach dem Unfall.,arm,A1
nachdem,"Nachdem er ging, wurde es ruhig.",after,B1
der Tisch,Der Tisch in der Küche ist aus Holz.,table,A1
rufen,Sie ruft ihre Kinder zum Abendessen.,to call,A2
bieten,Der Verkäufer bietet einen Rabatt.,to offer,B1
das Herz,Das Herz schlägt schnell vor Aufregung.,heart,B1
zusammen,Wir haben zusammen eine Lösung gefunden.,together,A1
inzwischen,Inzwischen hat sich viel verändert.,in the meantime,B1
ebenso,"Ich mag Borschtsch, ebenso wie er.",just as,B1
der Boden,Der Boden war feucht vom Regen.,ground,B1
bevor,"Bevor es regnet, gehen wir heim.",before,B1
verwenden,Er verwendete das alte Werkzeug erneut.,to use,B1
die Politik,Die Politik bestimmt das Leben.,politics,B1
der Tod,Der Tod des Tieres war friedlich.,death,B1
der Erfolg,Sie hat ihren Erfolg hart erarbeitet.,success,B1
zudem,"Die Wohnung ist groß, zudem gut gelegen.",moreover,B2
die Bank,Die Bank gewährte ihm einen Kredit.,bank,A1
ab,Ab jetzt gilt eine neue Regel.,from,A1
persönlich,Sie schrieb mir eine persönliche E-Mail.,personal,B1
der Präsident,Der Präsident hielt eine Rede.,president,A1
holen,Er holt die Zeitung aus dem Briefkasten.,to get,A1
der Junge,Der Junge spielt draußen im Garten.,boy,A1
sogenannt,Er ist der sogenannte Experte im Team.,so-called,B1
die Polizei,Die Polizei ermittelt im Fall.,police,A1
die Chance,"Gib dir die Chance, dich zu verbessern.",chance,B1
gewiss,Ich bin mir dessen ganz gewiss.,certain,B1
innerhalb,Innerhalb einer Stunde war er da.,within,B1
die Kunst,Die Kunst des Malens fasziniert mich.,art,A2
die Lage,Die Lage verschärft sich täglich.,situation,B1
der Schüler,Der Schüler schrieb einen Aufsatz.,pupil,A1
gesamt,Das gesamte Team arbeitet hart.,whole,A1
der Druck,Der Druck auf den Knopf ist zu stark.,pressure,B1
verschwinden,Die Sonne verschwand hinter den Wolken.,to disappear,B1
wohnen,Er wohnt seit Jahren in Berlin.,to live,A1
bewegen,Er bewegt den Tisch in die Ecke.,to move,B1
enthalten,Die Box enthält alle Werkzeuge.,to contain,B1
aufnehmen,Er nahm das Gespräch mit dem Handy auf.,to take in,B1
die Kosten,Die Kosten stiegen letztes Jahr.,costs,A1
das Wintersemester,Das Wintersemester beginnt im Oktober.,winter semester,
merken,"Er merkte, dass etwas nicht stimmte.",to notice,A2
fest,Das Auto hat feste Winterreifen.,firm,A2
aktuell,Die aktuelle Situation ist schwierig.,current,A2
der Begriff,Dieser Begriff ist schwer zu definieren.,concept,B1
erleben,Er erlebt das Abenteuer seines Lebens.,to experience,B1
relativ,Der relative Unterschied ist klein.,relative,B1
laut,Laut der Nachrichten regnet es morgen.,according to,A1
der Fuß,Er tritt den Ball mit dem Fuß.,foot,A1
die Daten,Wir haben leider alle Daten gelöscht.,data,B1
der Krieg,Der Krieg forderte viele Opfer.,war,B1
der Gast,Der Gast verließ das Haus schweigend.,guest,A1
die Aussage,Ich stimme der Aussage vollkommen zu.,statement,A1
das Gesetz,Das Gesetz wurde letztes Jahr geändert.,law,B1
planen,Er plant seinen nächsten Urlaub.,to plan,A2
schwierig,Die Prüfung war extrem schwierig.,difficult,A2
der Kilometer,Er läuft fünf Kilometer am Tag.,kilometer,A2
zusätzlich,Wir brauchen zusätzliche Mittel.,additional,B1
vergessen,Er vergisst oft seine Schlüssel.,to forget,A2
der Gedanke,Ein interessanter Gedanke kam mir.,thought,B1
besitzen,Er besitzt ein großes Haus am See.,to own,B1
ach,"Ach, das habe ich schon vergessen.",oh,A1
die Partei,Die Partei gewann viele Stimmen.,(political) party,B1
freuen,Er freut sich über das Geschenk.,to be happy,A1
hängen,Er hängt das Bild an die Wand.,to hang,A2
berichten,Der Reporter berichtet live vor Ort.,to report,A2
die Zelle,Die Zellen teilten sich schnell.,cell,A2
eng,Die Gassen der Altstadt sind eng.,narrow,A2
die Kultur,Die Kultur des Landes fasziniert mich.,culture,A2
der Prozess,Der Prozess beginnt nächste Woche.,trial,B1
der Sohn,Der Sohn hilft seinem Vater im Garten.,son,A1
der Dank,Er drückte seinen Dank aufrichtig aus.,gratefulness,A1
trotz,Trotz des Regens gingen wir spazieren.,in spite of,B1
fordern,Sie fordern eine faire Bezahlung.,to demand,B1
studieren,Sie studiert Medizin an der Universität.,to study,A1
gefallen,Der Film hat mir gut gefallen.,to please,A1
das Mädchen,Das Mädchen singt ein schönes Lied.,girl,A1
das Verhalten,Das Verhalten ändert sich langsam.,behavior,B1
mindestens,Das dauert mindestens eine Stunde.,at least,A2
ziemlich,Sie ist ziemlich gut in Mathe.,quite,B1
das Interesse,Das Interesse am Thema wächst.,interest,A2
unterscheiden,Man kann die beiden kaum unterscheiden.,to distinguish,B1
wobei,"Er spielt Gitarre, wobei er laut singt.",whereby,B1
jeweils,Die Spiele beginnen jeweils um acht.,each,B1
reichen,Reicht das Geld für den gesamten Urlaub?,to reach,B1
sieben,Er hat sieben Tage die Woche gearbeitet.,seven,B2
zumindest,Zumindest hast du es versucht.,at least,B1
schlagen,Er schlug den Ball über das Netz.,to hit,B1
das Tier,Im Wald lebt ein seltenes Tier.,animal,A2
jedenfalls,Jedenfalls werde ich den Zug nehmen.,in any case,A1
am,Er war am besten im ganzen Team.,the (superlative),C2
erhöhen,Er erhöht den Preis um 10 Prozent.,to raise,B1
sorgen,Er sorgt gut für seine Familie.,to worry,B1
die Erfahrung,Er sammelte viel Erfahrung im Beruf.,experience,A2
der Patient,Der Patient wartet auf den Arzt.,patient,B1
morgens,Morgens trinke ich immer Kaffee.,in the morning,A2
der Morgen,Der Morgen ist ruhig und kühl.,morning,A1
der Arzt,Der Arzt hat mir eine Spritze gegeben.,physician,A1
geschehen,Ein Unfall ist hier geschehen.,to happen,B1
das Bayern,In Bayern gibt es schöne Seen.,Bavaria,C1
lösen,Wie willst du das Problem lösen?,to solve,B1
irgendwie,Irgendwie fand er den Weg nach Hause.,somehow,A1
anbieten,Er bot mir seine Hilfe freundlich an.,to offer,A1
vorkommen,"Das kommt öfter vor, als man denkt.",to happen,B1
okay,"Wenn du okay bist, gehen wir weiter.",okay,A1
wünschen,Er wünscht sich ein neues Fahrrad.,to want,A2
interessieren,Das Thema interessiert ihn sehr.,to interest,B1
der Unterschied,Der Unterschied zeigt sich deutlich.,difference,A2
das Foto,Er nahm das Foto und zeigte es allen.,photograph,A1
trinken,Ich trinke jeden Morgen Wasser.,to drink,A1
dasselbe,Er trug dasselbe Hemd wie gestern zur Arbeit.,the same (one),A1
wählen,Er wählt immer denselben Kandidaten.,to choose,A2
gleichzeitig,Die beiden Kinder redeten gleichzeitig.,simultaneously,B1
knapp,Der Vorrat an Lebensmitteln ist knapp.,scarce,B1
der Mitarbeiter,Unsere Mitarbeiter sind immer pünktlich.,employee,A2
übernehmen,Er übernimmt die Leitung des Projekts.,to take over,B1
das Glück,Manchmal braucht man mehr Glück als Verstand.,luck,A1
normal,Nach dem Unfall ist alles wieder normal.,normal,A1
leider,Leider konnte er nicht kommen.,unfortunately,A1
die Grundlage,Das ist die Grundlage für den Erfolg.,basis,B2
acht,Er hat acht Stunden gearbeitet.,eight,
die Leistung,Die Leistung des Teams war stark.,performance,B1
vorliegen,Das Dokument liegt bereits vor.,to be available,B2
erfolgen,Die Lieferung erfolgt morgen früh.,to take place,B2
die Beziehung,Ihre Beziehung hält schon viele Jahre.,relation,B1
zunehmen,Der Verkehr nimmt jeden Morgen stark zu.,to increase,B1
das Molekül,Das Molekül besteht aus mehreren Atomen.,molecule,C1
stattfinden,Das Konzert findet morgen statt.,to take place,A2
ankommen,Der Zug kam pünktlich am Bahnhof an.,to arrive,A1
das Auftreten,Sein Auftreten war sehr selbstbewusst.,behavior,B1
insbesondere,"Er liebt Sport, insbesondere Fußball.",especially,B2
technisch,Das Problem ist technischer Natur.,technical,B1
wann,Wann hast du Zeit für ein Treffen?,when,A1
los,"Was ist hier los, warum schreien sie?",going on,A1
loswerden,Ich möchte endlich den alten Kram loswerden.,going on,A2
das Bett,Das Bett steht neben dem Fenster.,bed,A1
die Höhe,Die Höhe des Turms beeindruckt.,height,B1
wesentlich,Dieser Punkt ist wesentlich für uns.,essential,B1
englisch,Der englische Text ist schwer.,English,A2
zuletzt,Zuletzt sah ich ihn in der Stadt.,last,A2
rein,Das Wasser aus der Quelle ist rein.,pure,B1
das Zimmer,Das Zimmer ist sauber und aufgeräumt.,room,A1
indem,"Er spart Geld, indem er wenig kauft.",while,B1
bauen,Er baute das Haus ganz alleine.,to build,A2
das Verhältnis,Das Verhältnis bleibt angespannt.,relationship,B1
selten,Ein seltener Vogel wurde gesichtet.,rare,B1
die Zeitung,Die Zeitung berichtet täglich.,newspaper,A1
innere,Das innere Gleichgewicht ist wichtig.,internal,C2
beispielsweise,Beispielsweise mag er keine Hunde.,for example,C1
die Bedingung,Die Bedingung war schwierig zu erfüllen.,condition,B1
das Fenster,Das Fenster blieb die ganze Nacht offen.,window,A2
der Zug,"Der Zug fährt gleich ab, beeil dich!",train,A1
derzeit,Derzeit ist keine Änderung geplant.,at the moment,B2
funktionieren,Die Maschine funktioniert perfekt.,to function,B1
sowohl,Er ist sowohl Lehrer als auch Autor.,both ... and,B2
schlafen,Er schlief ruhig die ganze Nacht.,to sleep,A1
statt,Er nahm den Bus statt des Fahrrads.,instead of,B1
das Werk,Das Werk wurde veröffentlicht.,work,B1
grün,Das grüne Gras leuchtete in der Sonne.,green,A2
der Bürger,Der Bürger forderte mehr Transparenz.,citizen,B1
dienen,Dieses Buch dient als gutes Beispiel.,to serve,B1
echt,Er zeigte echten Enthusiasmus.,genuine,A2
die Firma,Die Firma stellt Computer her.,firm,A1
die Wirtschaft,Die Wirtschaft erholt sich langsam.,economy,B1
stecken,Sie steckte den Zettel in die Tasche.,to put,B1
hoffen,Er hofft auf gute Nachrichten.,to hope (for),A2
erfahren,Er erfährt die Neuigkeiten erst später.,to experience,B1
das Mittel,"Er nutzt jedes Mittel, um zu gewinnen.",means,A2
die Folie,Die Präsentation nutzte viele Folien.,slide,C1
leisten,Sie hat ihre Pflichten gut geleistet.,to perform,B1
die Tochter,Die Tochter besucht ihre Eltern.,daughter,A1
der Lehrer,Der Lehrer erklärt die Aufgabe.,teacher,A1
passen,Der Hut passt perfekt zu seinem Anzug.,to fit,A2
beobachten,Er beobachtet die Vögel im Garten.,to observe,B1
die Einführung,In der Einführung erklärt er das Thema.,introduction,B1
das Element,Sauerstoff ist ein chemisches Element.,element,B1
klingen,Seine Stimme klingt sehr angenehm.,to sound,B1
lieben,Er liebt sie von ganzem Herzen.,to love,A1
die Dame,Die Dame bestellte einen Kaffee.,lady,A1
die Vorlesung,Die Vorlesung beginnt um zehn Uhr.,lecture,B2
zählen,Kannst du bitte das Geld zählen?,to count,B1
meist,Meist ist er pünktlich zur Arbeit.,mostly,A1
dunkel,Es wurde plötzlich dunkel im Raum.,dark,A2
das Österreich,Österreich ist bekannt für seine Berge.,Austria,B2
das Modell,Das Modell wurde maßstabsgetreu gebaut.,model,B1
die Bewegung,Die Bewegung wurde immer schneller.,movement,B1
unten,Unten im Keller lagert der Wein.,down,A1
die Mitte,Er stand in der Mitte des Raums.,middle,A1
hin,"Er ging hin, um es selbst zu sehen.",there,A1
aufgrund,Aufgrund der Hitze war der Park leer.,on the basis of,A2
beschäftigen,Er beschäftigt sich mit der Aufgabe.,to employ,B1
zuvor,Er war schon zuvor in der Stadt.,previously,A1
miteinander,Sie sprachen lange miteinander.,with each other,B1
dennoch,"Es ist schwierig, dennoch machbar.",nevertheless,A2
werfen,Er warf den Ball über den Zaun.,to throw,B1
das Angebot,Das Angebot war sehr verlockend.,offer,A1
das Projekt,Das Projekt läuft seit einem Jahr.,project,A2
verkaufen,Er verkauft seine alten Bücher online.,to sell,A1
reagieren,Er reagierte sofort auf den Alarm.,to react,B1
der Autor,Der Autor liest aus seinem Buch.,author,B1
kriegen,Er kriegt jeden Tag neue Aufgaben.,to get,A1
zirka,Es sind zirka hundert Leute hier.,approximately,C2
die EU,Die EU hat neue Gesetze erlassen.,EU,A1
die Größe,Die Größe des T-Shirts passt mir gut.,size,A1
hart,Der Stein ist hart wie Granit.,hard,A2
offenbar,"Es wurde offenbar, dass er gelogen hat.",apparent,B1
der Bruder,Mein Bruder ist älter als ich.,brother,A1
beteiligen,Er beteiligt sich an der Diskussion.,to participate,A2
die Phase,Die Phase des Umbaus ist fast vorbei.,phase,B1
angeben,Er gibt immer mit seinem Auto an.,to claim,B1
die Reise,Die Reise nach Paris war ein Traum.,journey,A1
erfolgreich,Das Projekt war ziemlich erfolgreich.,successful,B1
der Zustand,Der Zustand des Autos ist gut.,condition,B1
wahr,"Nicht alles, was du hörst, ist wahr.",true,A2
die Reihe,Sie sitzt in der ersten Reihe.,row,A2
die Natur,Er studiert die Natur der Pflanzen.,nature,B1
rechnen,Wir haben die Kosten genau gerechnet.,to calculate,A2
bloß,Das bloße Versprechen reichte nicht aus.,bare,B1
notwendig,"Es war notwendig, den Plan zu ändern.",necessary,A2
entdecken,Er entdeckte eine neue Insel im Meer.,to discover,B1
dauern,Das Gespräch dauert länger als erwartet.,to last,A1
wirtschaftlich,Die wirtschaftliche Lage ist angespannt.,economic,C1
privat,Das Gespräch bleibt streng privat.,private,A2
modern,Sie lebt in einer modernen Wohnung.,modern,A2
das Haar,Das Haar glänzte im Sonnenlicht.,hair,A1
deswegen,"Er ist müde, deswegen schläft er.",therefore,B1
spüren,Er spürte die Sonne auf der Haut.,to sense,B1
unabhängig,Sie ist finanziell unabhängig.,independent,B2
der Rahmen,Der Rahmen passt gut zum Bild.,frame,B2
übrigens,"Übrigens, hast du die E-Mail bekommen?",by the way,B1
die Einheit,Die Einheit stärkt die Gruppe.,unity,A2
überall,Überall lagen verstreute Blätter.,everywhere,A2
feststellen,Der Arzt stellte die Diagnose fest.,to establish,B1
der Stoff,Der Stoff liegt weich in der Hand.,material,B1
die Rede,Der Präsident hielt eine lange Rede.,speech,
unterstützen,Er unterstützt seine Familie tatkräftig.,to support,B1
chemisch,Die chemische Reaktion verläuft schnell.,chemical,B2
schlimm,"Es war nicht so schlimm, wie gedacht.",bad,A2
die Schweiz,Die Schweiz ist bekannt für Käse.,Switzerland,B2
irgendwann,Irgendwann wird er es verstehen.,sometime,B1
das Geschäft,Das Geschäft schließt um 18 Uhr.,business,A1
weder,Er trank weder Kaffee noch Tee.,neither ... nor,A1
der Anteil,Der Anteil am Gewinn ist hoch.,share,A2
die Angabe,Die Angabe war in dem Bericht enthalten.,information,B1
das Team,Das Team arbeitet effizient zusammen.,team,A2
außer,Außer ihm war niemand zu sehen.,except,A2
der Sommer,Der Sommer war heiß und trocken.,summer,A2
das Hotel,Das Hotel liegt direkt am Strand.,hotel,A1
eins,Ich zählte langsam von eins bis zehn.,one,C1
das Alter,Das Alter spielte keine Rolle.,age,A1
die Sicherheit,Die Sicherheit hat oberste Priorität.,security,B1
die SPD,Die SPD plant eine neue Reform.,SPD,C2
niedrig,Der Preis war erstaunlich niedrig.,low,B1
ständig,Die ständige Ablenkung stört die Arbeit.,constant,B1
der Einsatz,Der Einsatz dieser Software ist einfach.,insert,A2
die Einsatzgruppe,Die Nazi-Einsatzgruppen ermorderten Juden.,Einsatzgruppe,C2
liefern,Er liefert die Ware pünktlich.,to deliver,A2
betonen,Er betonte den wichtigen Punkt.,to stress,B2
die Erde,Die Erde dreht sich um die Sonne.,earth,B1
die Studie,Die Studie liefert neue Erkenntnisse.,study,B1
vorne,Er stand ganz vorne in der Schlange.,at/to the front,A1
rechte,Der rechte Schuh passt perfekt.,right,
die Meinung,Die Meinung der Experten ist geteilt.,opinion,A2
drehen,Er dreht den Schlüssel im Schloss.,to turn,B1
der Künstler,Der Künstler stellte seine Werke aus.,artist,B1
aktiv,Er bleibt auch im Alter aktiv.,active,A2
der Versuch,Der Versuch gelang beim ersten Mal.,attempt,B1
somit,"Die Arbeit ist fertig, somit gehen wir.",consequently,B2
bezahlen,Er bezahlt das Essen an der Kasse.,to pay,A1
die Eigenschaft,Ehrlichkeit ist eine gute Eigenschaft.,quality,B2
längst,Das Problem ist längst gelöst.,long since,B1
die Methode,Die Methode erwies sich als effektiv.,method,B1
die Ordnung,Die Ordnung muss eingehalten werden.,order,A1
das Russland,Russland ist das größte Land der Welt.,Russia,B1
die Wahl,Die Wahl bestimmt die Zukunft.,choice,B1
daraus,Er hat eine Geschichte daraus gemacht.,from it,A2
erfüllen,Er erfüllt alle Anforderungen.,to grant,B1
die Mama,Die Mama kocht das Abendessen.,mommy,A1
die Region,Diese Region ist für ihren Wein bekannt.,region,B1
der Sonntag,Am Sonntag gehen wir spazieren.,Sunday,A2
das Internet,Das Internet hat die Welt verändert.,internet,A1
die Nummer,Die Nummer wurde falsch gewählt.,number,A1
das Lächeln,Sein Lächeln war sehr herzlich.,smile,B1
genauso,Er ist genauso klug wie sein Bruder.,just as,B1
überzeugen,Er überzeugt durch gute Argumente.,to convince,A1
interessant,Das Buch ist wirklich interessant.,interesting,A2
menschlich,"Es ist menschlich, Fehler zu machen.",human,B1
das Elektron,Das Elektron ist negativ geladen.,electron,C2
das Frankreich,Frankreich liegt in Westeuropa.,France,A2
die Freiheit,Er genießt die Freiheit zu reisen.,freedom,B1
speziell,Ich habe einen speziellen Wunsch.,special,B1
französisch,Er liest gerne französische Romane.,French,A2
negativ,Der Test zeigte ein negatives Ergebnis.,negative,B1
zentral,Das Büro ist im zentralen Gebäude.,central,B1
die Ebene,Die Ebene war flach und endlos weit.,plane,B1
besuchen,Er besuchte seine Eltern am Wochenende.,to visit,A1
gestern,Gestern besuchte ich meine Oma.,yesterday,A1
der Spieler,Der Spieler traf das entscheidende Tor.,player,B1
absolut,Das ist absolut nicht mein Geschmack.,absolute(ly),B1
fliegen,Der Vogel fliegt in den Süden.,to fly,A1
der Hund,Der Hund bellte laut vor Freude.,dog,A1
antworten,Er antwortete auf die Frage schnell.,to answer,A1
weiterhin,Er geht weiterhin jeden Tag joggen.,still,A2
die Wand,Die Wand wurde frisch gestrichen.,wall,B1
rechts,Das Auto steht rechts auf der Straße.,on/to the right,A1
konkret,Hast du eine konkrete Idee dazu?,concrete,B2
russisch,Er studiert russische Geschichte.,Russian,B1
zahlen,Ich muss noch die Rechnung zahlen.,to pay,A1
zugleich,Er ist zugleich klug und witzig.,both,B2
das Feld,Das Feld ist bereit für die Ernte.,field,B1
verdienen,Er verdient gut in seinem neuen Job.,to earn,A1
amerikanisch,Ich liebe amerikanisches Fast Food.,American,A2
die Sekunde,Jede Sekunde zählt bei diesem Spiel.,second,A1
der Brief,Der Brief lag geöffnet auf dem Tisch.,letter,A1
das Mitglied,Jedes Mitglied hat Stimmrecht.,member,B1
praktisch,Die Tasche ist praktisch für den Alltag.,practical,A2
die Gefahr,Die Gefahr ist nicht zu unterschätzen.,danger,B1
binden,Sie hat das Band schön gebunden.,to tie,A2
weltweit,Die weltweite Nachfrage wächst schnell.,worldwide,B1
die Liebe,Die Liebe wächst mit der Zeit.,love,B1
der Beginn,Der Beginn der Feier verzögerte sich.,beginning,B1
das China,China hat eine lange Geschichte.,China,A2
breit,Er trägt eine breite Krawatte.,wide,A1
draußen,Draußen regnete es den ganzen Tag.,outside,A1
die Wirkung,Die Musik hat eine entspannende Wirkung.,effect,B1
die Bildung,Bildung ist der Schlüssel zum Erfolg.,education,B2
das Blut,Das Blut fließt schnell durch die Adern.,blood,B1
das Meer,Das Meer rauschte leise im Hintergrund.,sea,A1
die Anzahl,Die Anzahl der Gäste war überschaubar.,number,B1
die Veränderung,Die Veränderung der Pläne war plötzlich.,change,A2
durchaus,"Er ist durchaus in der Lage, das zu tun.",absolutely,B1
der Mund,"Er öffnete den Mund, um etwas zu sagen.",mouth,A1
berechnen,Er berechnet die Kosten für das Projekt.,to calculate,B1
betragen,Die Rechnung beträgt genau hundert Euro.,to amount,A2
fremd,Dieses Land ist mir völlig fremd.,foreign,A1
die Untersuchung,Die Untersuchung des Vorfalls dauert an.,examination,B1
der Fehler,Der Fehler im System wurde behoben.,mistake,A1
mittlerweile,Das Wetter ändert sich mittlerweile.,in the meantime,B1
aufbauen,Er baut ein Geschäft in der Stadt auf.,to build (up),A2
die Sonne,Die Sonne geht um 18 Uhr unter.,sun,A1
das Prinzip,Unser Prinzip ist: Weniger ist mehr.,principle,B1
vorher,Er hat alles vorher vorbereitet.,earlier,A2
der Kampf,Der Kampf dauerte mehrere Stunden.,fight,B1
die Verfügung,Die Mittel stehen zur freien Verfügung.,disposal,A2
feiern,Wir feiern heute meinen Geburtstag.,to celebrate,A1
das Programm,Das Programm läuft ohne Fehler.,program,A2
linke,Der linke Schuh drückt ein wenig.,left,
der Einfluss,Sein Einfluss wuchs mit der Zeit.,influence,B1
die Temperatur,Die Temperatur sinkt nachts deutlich ab.,temperature,B1
leer,Die Straße war nachts völlig leer.,empty,A2
mitteilen,Sie teilte uns ihre Entscheidung mit.,to inform,B1
das Verfahren,Das Verfahren wurde gründlich getestet.,method,B1
danke,Danke für deine große Hilfe heute!,thanks,A1
beziehen,Sie bezog sich auf den Bericht.,to refer,B1
verlangen,Er hat eine Erklärung von ihr verlangt.,to request,B1
zuerst,Zuerst machen wir die Hausaufgaben.,first,A2
die Analyse,Die Analyse ergab wichtige Erkenntnisse.,analysis,B1
klassisch,Er spielt gern klassische Musik.,classical,B1
ehemalig,Mein ehemaliger Lehrer war sehr nett.,former,B1
das Bein,Er hat sich das Bein gebrochen.,leg,A1
das Glas,Das Glas ist mir aus der Hand gefallen.,glass,A1
untersuchen,Der Arzt untersucht den Patienten.,to examine,A2
kalt,Das Wasser fühlt sich kalt an.,cold,A2
die Sorge,Ihre Sorge um ihn wuchs jeden Tag.,worry,B1
der Himmel,Der Himmel klarte auf nach dem Sturm.,sky,B1
künftig,Unsere künftigen Pläne sind geheim.,future,C1
national,Nationale Events ziehen Touristen an.,national,A2
die Kirche,Die Kirche steht mitten im Dorf.,church,A2
links,Links vom Gebäude liegt ein Park.,on/to the left,A1
die CDU,Die CDU gewann bei den Wahlen.,CDU,C2
bislang,Bislang gab es keine Beschwerden.,up to now,B2
messen,Er misst die genaue Länge des Tisches.,to measure,B1
lieb,Das Kind war zu den Tieren lieb.,dear,A1
unbedingt,Ich muss das unbedingt erledigen.,absolutely,A2
der Verein,Der Verein hat viele Mitglieder.,association,A1
das Atom,Das Atom bildet die Basis aller Materie.,atom,C1
historisch,Die Stadt hat historische Gebäude.,historical,B1
sinken,Das Schiff ist langsam gesunken.,to sink,B1
die Vorstellung,Ihre Vorstellung von Erfolg ist naiv.,idea,B1
entscheidend,Das Tor war entscheidend für den Sieg.,decisive,B2
teilen,Kannst du den Kuchen mit mir teilen?,to divide,A2
der Typ,Er ist definitiv nicht mein Typ.,type,B1
stammen,Das Rezept stammt aus Großmutters Kochbuch.,to come (from),B1
wissenschaftlich,Der wissenschaftliche Ansatz half uns.,scientific,B1
wieso,Wieso hast du das nicht früher gesagt?,why,B1
der Faktor,Der Faktor Zeit spielt eine große Rolle.,factor,B1
die Bindung,Gute Bindungen fördern das Arbeitsklima.,relationship,B2
die Literatur,Die Literatur begeistert viele Leser.,literature,B1
überraschen,Das Ergebnis überraschte das Team nicht.,to surprise,B1
bestätigen,Die Ergebnisse bestätigen die Theorie.,to confirm,A2
bewusst,Er ist sich der Risiken bewusst.,conscious,A2
der Abschnitt,Lesen Sie bitte den nächsten Abschnitt.,section,B1
die Nähe,Die Nähe zum Zentrum ist sehr praktisch.,vicinity,B1
zahlreich,Es gab zahlreiche Beschwerden.,numerous,B1
medizinisch,Die medizinische Hilfe rettet Leben.,medical,A2
übrig,Nichts bleibt mehr übrig für später.,remaining,B1
die Türkei,Die Türkei liegt teils in Asien.,Turkey,C1
die Produktion,Die Produktion wurde sofort gestoppt.,production,B1
drücken,Er drückt den Knopf an der Maschine.,to press,A1
drohen,Er drohte ihm mit Konsequenzen.,to threaten,A2
die Linie,Die Linie trennt zwei Gebiete.,line,B1
das Gas,Das Gas strömte aus der Leitung.,gas,B1
schicken,Wir haben das Paket gestern geschickt.,to send,A1
die Hälfte,Die Hälfte der Arbeit ist geschafft.,half,A1
der Kontakt,Ich habe keinen Kontakt mehr zu ihm.,contact,A2
das Interview,Das Interview verlief sehr gut.,interview,A2
reisen,Er reist gerne in ferne Länder.,to travel,A1
der Berg,Der Berg ragt majestätisch auf.,hill,A2
irgendwo,Das Buch liegt irgendwo im Haus.,somewhere,A1
trennen,Sie trennte das Papier vom Plastik.,to separate,A1
benötigen,Das Projekt benötigt mehr Ressourcen.,to require,B1
die Erinnerung,Die Erinnerung bleibt lebendig.,memory,B1
verhindern,Das Wetter verhindert den Ausflug.,to prevent,B1
die Sicht,Die Sicht war heute Morgen schlecht.,view,B1
